6 Hours Ago,https://www.cnbc.com/2026/01/16/musks-xai-faces-tougher-road-expanding-memphis-area-after-epa-update.html,"Elon Musk's xAI faces tougher road building data centers after EPA rule update"
7 Hours Ago,https://www.cnbc.com/2026/01/16/heres-why-jim-cramer-thinks-chip-stocks-can-go-higher.html,"Here's why Jim Cramer thinks chip stocks can go higher"
7 Hours Ago,https://www.cnbc.com/2026/01/16/cramers-lightning-round-sell-super-micro-computer.html,"Cramer's Lightning Round: Sell Super Micro Computer"
8 Hours Ago,https://www.cnbc.com/2026/01/16/cramers-week-ahead-earnings-from-netflix-intel-capital-one-mccormick.html,"Cramer's week ahead: Earnings from Netflix, Intel, Capital One, McCormick"
8 Hours Ago,https://www.cnbc.com/2026/01/16/google-files-to-appeal-search-monopoly-case.html,"Google files to appeal search monopoly case"
10 Hours Ago,https://www.cnbc.com/2026/01/16/employers-focusing-more-on-employee-financial-wellbeing-study-shows.html,"More employers worry about workers' financial well-being, research shows"
10 Hours Ago,https://www.cnbc.com/2026/01/16/child-and-dependent-care-tax-credit.html,"Republicans want to end the ‘marriage penalty’ for this childcare tax credit"
10 Hours Ago,https://www.cnbc.com/2026/01/16/trump-labor-nazi-slogan-social-media.html,"Labor Dept. accused of echoing Nazi slogan in social media post"
10 Hours Ago,https://www.cnbc.com/2026/01/16/student-loan-collections-paused.html,"Education Department to delay collections on defaulted student loans"
11 Hours Ago,https://www.cnbc.com/2026/01/16/stock-market-next-week-outlook-for-jan-19-23-2026.html,"Earnings reports, fears around interest rate outlook may sway markets next week"
11 Hours Ago,https://www.cnbc.com/2026/01/16/openai-chip-deal-with-cerebras-adds-to-roster-of-nvidia-amd-broadcom.html,"OpenAI has committed billions to recent chip deals. Some big names have been left out"
11 Hours Ago,https://www.cnbc.com/2026/01/16/one-of-our-top-stocks-this-week-just-lost-its-cfo-what-it-means-.html,"One of our top stocks this week just lost its CFO — what it means for investors"
12 Hours Ago,https://www.cnbc.com/2026/01/16/white-house-hassett-trump-cards-credit-card-battle.html,"Hassett pivots to possible ‘Trump cards’ amid credit card battle with banks"
12 Hours Ago,https://www.cnbc.com/2026/01/16/can-home-depots-ai-powered-push-to-court-pros-move-the-needle-in-its-own-business.html,"Can Home Depot's AI-powered push to court pros move the needle in its own business?"
13 Hours Ago,https://www.cnbc.com/2026/01/16/these-stocks-reporting-earnings-next-week-have-a-history-of-beating-expectations.html,"These stocks reporting earnings next week have a history of beating expectations"
13 Hours Ago,https://www.cnbc.com/2026/01/16/biggest-offshore-wind-project-in-us-to-resume-construction-after-judge-lifts-trump-suspension.html,"Coastal Virginia Offshore Wind to restart work after judge lifts Trump suspension"
13 Hours Ago,https://www.cnbc.com/2026/01/16/open-ai-chatgpt-ads-us.html,"OpenAI to begin testing ads on ChatGPT in the U.S."
13 Hours Ago,https://www.cnbc.com/2026/01/16/micron-stock-climbs-as-ceo-highlights-ai-demand-for-memory.html,"Micron stock climbs as CEO highlights AI demand for memory"
14 Hours Ago,https://www.cnbc.com/2026/01/16/stocks-usually-rally-big-after-getting-added-to-the-sp-500-index-these-could-be-next.html,"Stocks usually rally after getting added to S&P 500. These names could be next"
14 Hours Ago,https://www.cnbc.com/2026/01/16/this-energy-stock-is-the-clearest-winner-in-efforts-aimed-at-powering-the-ai-buildout.html,"This energy stock is the clearest winner in efforts to power the AI buildout"
14 Hours Ago,https://www.cnbc.com/2026/01/16/stocks-making-the-biggest-moves-midday-nvo-rf-gev-vst-and-more.html,"Stocks making big moves midday: Novo Nordisk, GE Vernova, Regions Financial and more"
14 Hours Ago,https://www.cnbc.com/2026/01/16/novo-nordisk-shares-wegovy-obesity-pill-launch.html,"Novo Nordisk shares rise after Wegovy obesity pill has 'solid' start to launch"
15 Hours Ago,https://www.cnbc.com/2026/01/16/micron-has-been-on-a-tear-how-to-take-profits-and-generate-income-on-the-chipmaker-using-options.html,"Micron has been on a tear. How to take profits, generate income on the chipmaker"
15 Hours Ago,https://www.cnbc.com/2026/01/16/asml-record-high-ai-boom-tech-stocks.html,"ASML hits record high on AI boost — and analysts see plenty of room to run"
15 Hours Ago,https://www.cnbc.com/2026/01/16/trump-greenland-tariffs.html,"Trump floats new tariffs in push to acquire Greenland"
15 Hours Ago,https://www.cnbc.com/2026/01/16/how-to-raise-successful-kids-when-you-and-your-partner-have-very-different-parenting-styles.html,"This parenting style difference can lead to 'resentment and frustration'—do this instead"
15 Hours Ago,https://www.cnbc.com/2026/01/16/silver-prices-up-more-than-200-percent-over-past-year.html,"How much $1,000 invested in a silver ETF a year ago is worth now"
15 Hours Ago,https://www.cnbc.com/2026/01/16/warsh-sprints-ahead-in-fed-chair-race-following-trump-comments-on-hassett-prediction-markets-show.html,"Trump tells Hassett he wants to keep him where he is; Warsh Fed chair odds jump"
15 Hours Ago,https://www.cnbc.com/2026/01/16/this-gym-stock-could-see-a-boost-from-increase-weight-loss-pill-use-says-stifel.html,"This gym stock could see a boost from increase weight-loss pill use, says Stifel"
16 Hours Ago,https://www.cnbc.com/2026/01/16/keeping-us-biotech-ahead-of-china-could-aid-rare-disease-patients-experts.html,"Keeping U.S. biotech ahead of China's could help rare disease patients, experts say"
